tweet,label
kiní yìí ọ̀tá orun ní í ṣe,0
inú ilé ni jọ́ọ̀nù ti ń kiri obìi tirẹ̀ ó ga o mùmú ni wá,0
oga o ewo ni orin eku lori oro oselu,0
honestly i had this experience yesterday one brother sitting close will not allow me concentrate bọ̀bọ́ yẹn kàn ń gbá ni àfi bí epo,0
ayé tó ṣe ilá tí ilá fi kó ló ṣe ikàn tí ó fi wọ ẹ̀wù ẹ̀jẹ̀ àwọn ló sọ ọrún di ọ̀pá mo gbédìí fáyé o,0
ǹjẹ́ ìwọ mọ̀ wípé awuyewuye àròyé ọ̀tẹ̀ bẹ́ sílẹ̀ nígbà tí a pa ajamï àdàlù èdè lárúbáwá tì tí a bẹ̀rẹ̀ sí í kọ èdè yorù,0
ikú ń kanlẹ̀kùn oúnjẹ àgbáyé àti ewu tí ó rọ̀ mọ́ ọn,0
ajé kún ìyá ni ó jé ẹni tí ó tó ní na tin de na de ni aje kún ìyá ni ó jé,0
theft iwa ole corruption iwa ibaje,0
ẹ̀yin ará twitter yìí ti ya nǹkan sí mi lọ́rùn mo ti fi aiye yín sílẹ̀ bẹ́ẹ̀ o,0
iro nparo fun iro tami afoju tan dolphin sun johns tiosun talk to oponu agbalagba,0
ẹní bá purọ́ á á jalè whoever lies habitually will steal nip those moral failings in the bud they hardly rema,0
ikunle abiamo oooooo wan ti yinban pa wan ooooo awon omo nijeria ti o gbe ogun oloro wo orile ede indonesia,0
tẹ gàba ️ jẹ gàba àwọn fúlàní ti ń tẹ gàba lórí wa ọjọ́ ti pẹ́ kì í ṣe òní,0
word of the day ọ̀rọ̀ ọjọ́ òní ìbùbá kí a farapamọ́ kó ìjà òjijì bá èèyànẹranko ǹkan ìdí nì ìyẹn tí wọ́n fi ma ń sọ wípé a kìí bá ẹkùn ní ìbùbá gẹ̀ẹ́sì rẹ̀ ni ambushto attack someone from a concealed position you dont ambush a tiger,0
fi enu wa rofu lori eto mukutaru pe awon omo birin choboku ni ewure igberaga ayedi ti fe pa run o,0
egbe agbaboolu fi di remi lale ana ni idije,0
a ò sì lè sọ bóyá adé àti bàbá súlè ẹ̀ṣọ́ ọjà tó hùwà àìbójúmu tí ó gbàlú kan wà ńnú wọn ~,0
á ka owó tì lálẹ́ oníbárà tó ńṣe ẹ̀ẹ́kẹ́ èébú a quarrelsome beggar would find few alms to count at the end of the,0
kiní ọ̀hún ò tiẹ̀ ta rárá ó wá rí ràṣìràṣì lẹ́nu nígbà tó ṣe mí bí ẹní fẹ́ bì,0
ko si abo fun enikeni mo ni orile ede yi falana,0
oṣù kìníní là ti ń sọ yìí lọ́jọ́ sí oṣù kejì ológun britain wá da bini rú wọ́n sọ ìlú ọlá bini di aoro,0
ti a ba wo ohun ti awon wooli aye ode oni so fifi ede fo daa le pe ogede naa benitori wipe kiko ni,0
sunday padanu ika meji nile olosho faanu lo ge e lowo nibi to ti n boso,0
ẹlẹ́yàmẹ̀yà pọ̀ nínú àwọn lárúbáwá wọ́n kórira àwa adúláwọ̀ púpọ̀ ojú ẹru ni wọ́n máa fi nwò wá,0
owó gegere tí ń gbà lọ́wọ́ akẹ́kọ̀ọ́ kíni wọ́n fi ń ṣe,0
ní òní nìkan ṣoṣo múrí mẹ́ta náírà lẹ ti gbọ̀n yọ kán mo ti sọ títí pàbo ni ó ń jásí kí ló dé ndan wọ́n bí ṣómi mẹ́ja ni,0
τ̲̅ơ̴̴̴̴̴̴͡ ba jumilo o ju olorun lo ma ale mo kayode mi,0
bi omi ba gbagbe orisun e gbigbe ni n gbe if waters forgets its source it drys up revelationmedia,0
ọ̀pọ̀lọpọ̀ ère wọ̀nyìí ni a pàdánù sí ọwọ́ èèbó amúnisìn,0
ta ni yìí gan an bí ṣe ń pa ọkùnrin ló ń pa obìnrin bẹ́ẹ̀ ní í pa ọmọdé àgbàlagbà àmọ́ àwọn mẹ́kúnnù ló ń forí kó o,0
àkàrà tú sépo,0
ti ará ile eni ba nje kókóró buruku ti a o ba so fun huru here ré ko ni jè ka sùn loruu,0
a ò mọhun ń jẹ́ èèwọ̀ mọ́n kò dáa ni kòdáa ń jẹ́ ni wọ́n sọ ti wa dì ni àṣìṣe ìṣekúṣe ìwàbàjẹ́ fi wọ́pọ̀ láwùjọ wa,0
se akufa kọ leleyi,0
bi iwa ba nu eeyan eyin o mo wi pe ayee re lo nu un ogu,0
kí iṣú tó di iyán a gún iṣu ní odó kò ní dáa fún,0
àkẹtẹ̀ ~► hat oòrùn ònìí gbóná kọjáa bẹ́ẹ̀ n óò dé àkẹtẹ̀ mi todays sun is so hot i will wear my hat,0
ìjẹkújẹ ìwa wọ̀nbílíkí wọ̀bìà ti ba jẹ́ olórin oléré ìtàgé wa gbogbo ní ń wọ ìṣèlú láti jẹun sápò tirẹ̀ náà,0
iyeni wipe ko ni je tolotolo ni ojo idupe ko si idariji fun tolotolo ni aso villa eiye jije ni e ku,0
èèwọ̀ sì ni ní bini kí ọba ó fi orí ìtẹ́ rẹ̀ sílẹ̀ fún ọjọ́ kan èèbó ba àṣà jẹ́ wọ́n da orí ìṣe kodò,0
woli da nnkan soju araa mi o tun gba owo lowo mi sibe n ko romobi n,0
bọ́mọdé bá ń dalẹ̀ kí ó má ṣe da ògún ọ̀rọ̀ ògún léèwọ̀,0
bíkòṣe ti àṣà tí wọ́n gbà ìyẹn ni aburú ibẹ̀,0
ẹ̀mí ọmọ ènìyàn kò ṣọ̀wọ́n ní ṣá o,0
iyawo ti a ba fi ijo fe dajudaju iran ni o wo lo,0
i can explain meanwhile wàhálà woman or ìjàngbòn mistress gistas mi ọwọn kẹn tii kẹ,0
àwíyé ni ifẹ̀ í fọ̀ gbangba ni oró ípẹran ohun tó bá jọhun ẹ jẹ́ ká fi wé hun èpo ẹ̀pá jọ pósí èlírí èèwọ̀ ni omi àti oúnjẹ lásìkò ramadan la fi lo ọ̀rọ̀ tó jọ ìṣe àìjẹ àìmu ìjánu ìwà àìtọ́ ní ìgbà yìí,0
otutu ti ojo ale ana mu wa laaro yii ko derun rara otutu ko fee je ki n dide lori ibusun,0
me ejo emabinu boda mi o bu yin o bet shey e ya weyrey ni people will yab you with respect,0
ẹnìkan kó ẹgbẹlẹmùkú owó pamọ́ owó tí ìrandéran rẹ̀ ò le è ná tán alákọrí sowó domi ó lóòhún pọmi sílẹ̀ dòǹgbẹ ni,0
àgbà tó so yangan mọ́di ló sọ ara ẹ̀ di aláwàdà fádìyẹ an elder who tied maize to his pants is the one who made hi,0
owó ti ayé ìwà ti òrun eni tólówó tí kò níwà dàbí onísòwò pàtàkì tí kò rílé désí,0
ọ̀rọ̀ tí ó lòdì sí ara wọn,0
dijú kí o se bi ẹni kú ki o ri bóyá isẹ ti o ranrímọ́ ò ni tẹ̀síwájú,0
ẹlẹ́rù ní ńgbé ẹrù ká tó ba ké ọfẹ,0
tok say iku enu atiku loma npa still omugo agba,0
ha wahala wa o yorùbátv ẹgbẹ ọmọ olúwa bí gbogbo àgbáyé ojú òpó ìkànsíraẹni yoruba tv,0
ejo omo karo ojire se won fi iresi sepe fun awon ara ipinle ekiti bi ti fi iresi wo opolo ekiti kete,0
ẹranko ìlú òyìnbó gan njayé tí ò sí fún ọmọ ènìà ní àmọ́ ó dàbí pé ìyà ti mọ́nra bí bẹ́ẹ̀ kọ́ ó yẹ káriwo pọ̀ jù báyìí lọ,0
ẹ kígbe olè olé ni wọ́n ohunolóhun ni wọ́n máa ń jí gbé nǹkan onínǹkan ni wọ́n máa ń sọ di ti wọn,0
baba ti wa fi na sori orule sun bayi o pelu gbo gbo ogun abele ti o de ba egbe oselu nise ni wan fe ko si oko balu lati lo sinmi ni ilu oba fun ojo mewa gba ko,0
afẹ́fẹ́ ọ̀ran nì fẹ́ sétíi òkòló wípé ohun ó jẹ́ mọ́ nǹkan ènìyàn lásán lóhun ìbànújẹ́ sorí àgbà kodò ìrònú gba ọkànan rẹ̀,0
ogun abele wo ti kaduna fesun kan oni ki asora o malamu fe gba ijoba lowo,0
ẹ wá mọ irọ́ britain lẹ́hìn tí ó pa òkíkí benin run,0
baba nla ere ni gej fi re wa lara loni e maa wo iro bantabanta bayii lenu olori orileede,0
àwọn olórí burúkú náà kò da ẹran gba igbó àfi ibi oko tí ẹniẹlẹ́ni tí fi gbogbo agbára àti àkókò ṣe,0
gbá wọn létí wọn ni kọ́n kọ etí kejì sí boko gẹ́gẹ́ bí àṣà onígbàgbọ́ boko tún sọ̀gbátí sí wọn etí di kíló wá kù báyìí,0
ejo ewa fi sekeseke ankofu si owo ati awon agbaya meji ti won so oro di ija igboro,0
ráńṣẹ́ sí àwọn ẹ̀gbá láti ti ọwọ́ ọmọ wọn bọ aṣọ kí wọ́n padà sí ìlú wọn ajá ní ń wí ẹran ní ń sọ̀rọ̀ ni àwọn ẹ̀gbá fi ọ̀rọ̀ ìjọba britain ṣìí àbùkù ò ní ilé ibikíbi nií ti ń dé bá ni lálejò ni ìjọba britain fi èsì ẹ̀gbá ṣe ní britain bá gbé,0
ikun n jogede ikun n redi ikun o mo wipe ohun to dun a maa pani ohun lo difa fun opo awon olori wa ni orileede yii,0
eniti kogbon ni awe n goawon onijibiti gbogbo àwọn wo nìyẹn o,0
ẹ kúu lédè ọba wa tó wàjà,0
pls dont choose igbo name chioma b they are not nigerian anymore they are called biafran tribe has real value of nig cardi ja omo iya shukura omo oduduwa ni ile ife,0
wọn pè yín lólè ẹ tún ń gbomo ẹran jo,0
ibo ni orileede wa yii wa nlo bayii aimoye eniyan ni won tun di ero orun ninu ija jtf ati boko haram,0
fideo ase eni abukun ni goodluck jonathan eje ki a fi ibo le wo si eti omi reverend mbaka lo so be o ni ilu enugu,0
inkan ti won gbin ni won ka abi ta lo le ka ogede ni po a,0
okonjoiweala tan awon omo naijiria lasan ni lori oro oko owo omo ile asofin,0
concise version olóòpá njé olè fúmi ní ìséjú méfà láti so òótó òrò fú o láti so òótó òrò táwon òjèlú àwon afúni lóko ìdi òpero àwon òránmo lómo nísé dé tòru tòru tí wón perawon ní ìjoba òfé jékí omò,0
wan abi hanrt ere idaraya eeemo deba orile ede ivory coast egbe agba boluu cont,0
ẹni tí a ó fẹ́ nílé ẹ ń jìnà,0
awon jegudujera oloselu wonyi ko ni itiju ati eri okan oun lofa bi won se,0
ọsàn tó rí gbajúmọ̀ tí kò bọ́ ẹyẹkẹ́yẹ ni yóò fi jẹ an orange that refuses to be plucked by a famous person will,0
oba oke yio da won lejo fun eje alaise ti won pa ika won ti poju,0
eniyan lo n pegba e l ekufo ki omo araye to baa fi ko idoti aguntan ti o ba baja rin ti won ba fi igbe loo ko ma binu,0
ejo se afise ni asofin iwa jagidijagon o boju mu,0
kò síbi tí kòkòròo jẹjẹrẹ kìí bá fàá ojú irun òbò ìfun ẹ̀dọ̀ kídìrin ọpọlọ ẹpọ̀n àti ẹ̀ya mìíràn lára,0
iya re le lowo lowo ki baba re lesin lekan ti o ba gboju le won o te tan ni mo wi,0
eku oro ilu o oro di unmmmmmmmm oro pe si je o oro di unmmmmmmmm,0
ìrírí fi hàn pé orílẹ̀èdè nàìjíríà jẹ́ ibi tí ó gbolè gba ọ̀lẹ bí a bá ń sọ̀rọ̀ àwọn ohun tí ìjọba gbẹ́sẹ̀ lé a lè rí àríwòye èyí nípa bí àwọn ènìyàn ṣe fẹ́ràn àlòkù ọkọ̀ sí tuntun látàrí àìlówó láti ra ọ̀ṣàrà,0
lẹ́yìn ìwádìí oṣù mẹ́ẹ̀ẹ́dógún ọ̀pọ̀ èèyàn ló ní iná mànàmáná ti mẹ́hẹ ju tẹ́lẹ̀ lọ,0
e ku dakudaji ero ibanisoro yin o e o se kuku ra okan si i e fi se eyi je eyi o je kó di mẹ́ta àbí,0
ẹ ti ẹ̀ gbọ́ ná ọ̀gbẹ́ni yẹn ò rí ìlú lọ ni wọ́n ní ó gbé ààrùnkárùn wá,0
ori awon elomi ti dota mehn,0
opolo yin ti daru fun iro se lori oro oselu yi abi,0
wípé àwọn ò ní jáwọ́ àyàfi ti ààrẹ pàwọ̀dà tó di mùsùlùmí ẹ ò rí nkan bí,0
bóbìnrin ò dán ilé ọkọ méjì wò,0
iwa ibaje ti awujo wa ko lati moju toohun lodi iwa afowora tolere cc,0
àwọn ọmọ ìbílẹ̀ sọ wípé iṣẹ́ tuntun fífẹ reluwé ń kóbá àwọn ẹranko agbègbè náà àti ààbòo wọn,0
ọ̀rọ̀ kò rí bẹ́ẹ̀ rárá o a ti ní afárá kí amúnisìn tó wá fọ́ gbogboo rẹ̀ lójú poo,0
tí wọ́n wà ní ìgbẹ́ìn láàárín ọjọ́ mélòó kan àwọn ọmọ ẹ̀gbá pa ẹgbẹ̀ta ajẹ́lẹ̀ ní ẹ̀gbá nígbà tí aláàfin gbọ́ èyí ó rán àwọn ọmọ ogun láti ọ̀yọ́ ẹ̀gbádò àti ìbàràpàá lọ sí ẹ̀gbá kí wọ́n lọ jẹ ẹ̀gbá run ṣùgbọ́n nígbà tìí kakanfò baálẹ̀,0
oro apoda ni un so igba ti fi enu warofu nibo lo wa lo ka ofin cybercrimes prohibition prevention etc act,0
nínú otútù yìí ni àwọn kan tún ń gbá ara wọn ti yi bí agílíńtí,0
alaileko ni oloselu to ba ko oro oloye bisi akande danu apc tolulope,0
o ya mi lenu o awon alainironu ara galatia opolo eranko lọ́ tún kàn ti súu yín |,0
nígbàtí ìgbà àti àkókò bá súnkì di àgbákò níbo wá ni pípàdé aburú ti wá,0
mo ti ńfo èyí mo ti ńfo tọ̀hún lo ńmú ológbò kó sínú épo gbígbóná i can hop over this i can hop over that is how,0
kí ìpínlẹ̀ yorùbá ó máa sààmi bíi ti ṣe ní,0
kí lọ́ ti ń pè é súnkẹrẹ fàkẹrẹ láràárọ̀ ọjọ́ mọ́ndè,0
awon yahooyahoo yi shahahahahaha ah ọ̀gbẹ́ni tẹju má pa mí o,0
ẹni rí nǹkan he tófẹ́ kú pẹ̀lú ẹ̀ ooo owó ẹni tóti sọnù ńkọ́ ̀bá,0
aaaah aunty temi nitori olohun ewo lebo oran,0
ogbeni pe pasitor ni opuro wan wipe alatenuje ni pasito reno,0
adùn tí a ṣe ní ìlànàa ìgbàlódé kò sunwọ̀n fún ara wa èyí gan an ni ńkóbá ojú àti ìmọ́lẹ̀ojú,0
ebi ń pejò ahun ń yọ àti ahun àti ejò ẹran jíjẹ,0
tẹ̀mbẹ̀lẹ̀kun èyí jẹ́ ìwà kí a rí èèyàn kí a fẹyín si kí ẹni náà bójú wẹ̀hìn kí a ma wá ìṣubú ẹni náà this is a behaviour where mr a sees mr b and smiles at mr b when mr b turns his back mr a only has evil plots against mr b,0
ṣé òótọ́ ni ohun gbogbo tí ìjọba wa sọ fún wa ṣé ẹ ò mọ̀ wípé àṣejù fúlàní ní nigeria ti ré kọjá ewé,0
ogbeni to ba fe kan abuku ofe ni ask yoruba friend,0
bí wọ́n bá so ìyẹ́ adìẹ mọ́ ẹnu ọ̀nà baálé ilé kan ó túnmọ̀ sí wípé ó ń ṣe àgbèrè pẹ̀lú ìyàwó oníyàwó kí ó sì dẹ̀hìn ọkọ arábìnrin tí baálé ilé yìí ń bá ṣe àgbèrè tàbí ọ̀kan nínú ẹbí rẹ̀ ló wá so ìyẹ́ adìyẹ náà mọ́ ilé rẹ̀,0
nise ni a o tun maa jeri won wipe awon ni won daa ju lagbaye mtcheeew,0
àwọn náà kọ́ ara iṣẹ́ ọwọ́ àwọn òyìnbó amúnisìn ni,0
olopa wo gau won sun lo ni tesan lafurasi ba salo meji ninu awon,0
ìwádìí fi hàn pé tó bá ma fi di ọdún un èèyàn yó pọ̀ si ó sì ṣeé ṣe kóúnjẹ má tòó mọ́,0
jamba ti o de ba okoja be careful mu oro dino bi ise ni asiri bere si tu lotun losi dino o je ya dobale,0
ah àwọn oníbodè naija tún dé o ó láti jẹ́ pé wọ́n jí adìẹ ọ̀hún gbé lọ́na ni tí mo dín i gbẹ dáadáa toò àṣèyíṣẹ̀míì o,0
igba iponju laa more to je gidi ko sore mo alabarin lo ku,0
ìjàmbá nlá gbáà ni fún bàbá trump àyàfi kó gba ònàa pápá golfu lọ kíákíá kó lọ mu omi sùúrū díẹ̀,0
culture todays proverb a fi ọ́ jọba ò ńṣàwúre o fẹ́ jẹ ọlọ́run ni,0
hrw gt níkẹ̀ẹ́ tí fìyà jẹ léjìgbò ní pípa ni wọ́n ma ń pa ẹní bá pàyàn gt,0
ewu sì ni bí ọmọ aráyé ò bá fẹ́ ni wọ́n lè dènà de ni wọ́n lè gbé kòtò sílẹ̀ kí olódì wọn kó sí i nítorí pé wọn kò fẹ́ràn ẹni,0
ti iya nla ba gbeni san ile kekeke yoo ma wa gun ori eni,0
ẹrú àti ọmọ bí a ṣe bí ẹrú la bí ọmọ,0
aaya do mi mi mo omo ti e fun lomu omolomo laa ran nise de torutoru,0
awon aliankanse ni fi esin ke wo,0
odò ti ó bá gbàgbé orisun gbi gbẹ ló ngbẹ yoruba proverb a river that forgets its source will eventually dry up,0
beeni eeyan mi irugbin idaru dapo ojo hun anna ta agbin lanna lo tin wu yi,0
omode o mo ogun nise lon pe le fo kuturu fe jagun,0
eni ti o ba ni iru eni kole mo iyi eni,0
àkérékeàkééke ni ìyàwó náà tí a gbé tí ó ní kí a máà fọwọ́ kan ìdí òun oró òjógan máa ń ta ni pa h,0
ah àwọn ará ilú òkèrè wọ̀nyí ṣá ọlọ́run nbẹ ẹ̀rù ò tiẹ̀ kí nbàwọ́n rárá,0
ààrẹ buhari sọ̀rọ̀ nàá nígbà tó n sọrọ níbi ìpàdé commonwealth ní westminster lọjọru ọsẹ ṣé lóòótọ́ ní àwọn ọdọ́ nàìjíríà kò fẹ ǹkan ṣe,0
ohun ti o maa n bimi ninu nipa awon sorosoro ere idaraya ile nigeria niyi dipo ka panu po ka ba awon super eagles wi wipe won doju ti wa,0
ọ̀rọ̀ ibàkanìbàkàn tí ń jẹ́ ebola tó gba ẹ̀mí odindin èèyàn ó gba ẹran ìgbẹ́ lẹ́nu wa ó tún fẹ́ gba ẹ̀kọ́ lọ́wọ́ ọmọ wa,0
ẹ ò ṣáà fẹ́ ká wí ti wa ẹ ò lè fi ọwọ́ bo kúkù òjò ẹ mọ̀ yẹn,0
bí a bá ṣe ìkà fún ẹni dúdú,0
mo ti rí i mo ti rí i mo gbé e gbági pẹ̀lú àìfarabalẹ̀ wo àmìi rẹ̀,0
ìgbàgbé ṣe mi ẹ jẹ́ n gbọ́ ọ nísìsiyìí kí n fún yín lábọ̀,0
hehe arọ míì ya òmùgọ̀ ná lóòótọ́ ogun tí kìí pa akin tí kìí pa ojo àfi aláìfọ̀rọ̀pọ̀ràn,0
nígbà tẹ fi ogún ọdún pilẹ̀ wèrè ọdún mélo lẹfẹ́ fi bugi jẹ o,0
asofin ti yi ilu pada otaku si egbe oselu oni ipako lohun ko si,0
otù ifẹ́ orísun ìran yoòbá ò ní í tú ilẹ̀ yorùbá ò ní í tú ara kì yóò tu àwọn ìráṣẹ́ ikú gbogbo tó pètepèrò ibi ilẹ̀ẹ wa,0
ẹní tó bá ṣe ohun tí ẹnìkan ò ṣe ríá á rí ohun tí ẹnìkan ò rí rí whoever does what no one has done will experien,0
fọ́nrán àwọn kan ro pe ẹda mi ni àwọn n rí ṣùgbọ́n ijakule ló jẹ́ fún wọn pé mo wà láàyè ààrẹ buhari,0
kílagberò àtọlọ́pàá fi jọra owó oríta agberò tún ń bá ọlọ́pàá gbowó oríta ọmọìta ti fa èkó ya pẹ́rẹpẹ̀rẹ ó ṣe,0
yorùbá sọra wọn di bọ́ọ̀lù táráyé ń gbá,0
agbára ipò kakanfò aláàfin aólẹ̀ bínú ṣùgbọ́n kò bá àfọ̀njá wí wípé ó fi agbára gba ipò kakanfò èyí mú kí àfọ̀njá di ọ̀tá aólẹ̀ àkọ́kọ́ baṣọ̀run àti aólẹ̀ bẹ̀rẹ̀ sií ní gbọ́nmi omi ò tó nígbà tí àwọn ọmọ baṣọ̀run digun lọ kó ọjà oníṣòwò haúsá tí,0
aísáyà wò o ọjọ oluwa mbọ̀ pẹlu ibinu pẹlu ibinu ati ibinu ibinu lati sọ ilẹ na di ahoro on o si pa awọn ẹlẹṣẹ run kuro ninu rẹ,0
eni ti a ko nika to gba oun to wa ninu e tele lo se,0
losun awon osise ijoba fariga won lawon o gba idaji owo osu mo,0
twitter di pápá ìròyìn ayédèrú lásìkò ìdìbò ọdúnun ní nàìjíríà,0
àwọn àgbà amòye ti là á yé wa pé ìdí gbogbo nkan tí ń ṣẹlẹ̀ ní ni àìníwà ìwà wa ló fà á,0
wo gau bi wan se ko alakoso forwardnigeria si yo yo etan iwe ibode visa ati £ ni wan fi yeye oddy,0
ebi npa olódodo àwọn aíṣòdodo,0
ó di lọ́jọ́ kan ọlọ́wọ̀ jáde láàfin gbólóhùn asọ̀ bẹ́ sílẹ̀ láàárín òronsẹn àti àwọn ìyáálée rẹ̀ wọ́n tutọ́ sókè wọ́n fojú gbà á,0
olè ńlá ni europe lápọpọ̀ ìkokòó ni ẹran ẹlẹ́ran ló ma ń jí gbé,0
eyi okin se oju lasan aare awon asofin ati aare,0
òótọ́ ni o kódà àwọn márùnún míràn tún ti kú lara àwọn tó farapa ó di mẹ́fà,0
nitori inawo isinku babaiyawo mi ni mo se ji aburo oga mi gbe williams,0
ìjàmbá ọkọ̀ tó fa àìlọgeere,0
ẹ̀rínkẹ́rìnín ni asínwín ń rín ìdìkudì ni wèrè ń di ẹrùu tirẹ̀ ìwọ làkáṣègbé máa rẹ́rìnínkẹ́rìnín ìwọ tàmẹ̀dù máa dìdìkudì ẹrù kiri ewì òkè yìí jẹ́ àpẹẹrẹ irú ewì alohùn wo a oríkì b èṣù pípè d ọfọ̀,0
òkú ń sunkún òkú akáṣọlérí ń sunkún ara wọn,0
